Episode,Timestep,State,Action,Reward,Next State
1,23,"[ 0.91426303  0.4677377   0.4051211   0.88386732  0.14498056  0.04998818
  0.58916313  3.91500087 -0.04590252  0.10025748]",[-0.01814694 -0.01265522],-0.11642671443455,"[ 0.90977347  0.39834305  0.41510509  0.91723651  0.14498056  0.04998818
  0.50581543  3.78740484 -0.05602156  0.10150384]"
1,24,"[ 0.90977347  0.39834305  0.41510509  0.91723651  0.14498056  0.04998818
  0.50581543  3.78740484 -0.05602156  0.10150384]",[0.05362902 0.07711172],-0.13052824372509525,"[ 0.90466497  0.32560449  0.42612357  0.94550606  0.14498056  0.04998818
  0.7080344   4.0176976  -0.06643117  0.10197666]"
1,25,"[ 0.90466497  0.32560449  0.42612357  0.94550606  0.14498056  0.04998818
  0.7080344   4.0176976  -0.06643117  0.10197666]",[-0.04535877  0.12162198],-0.14446047219778455,"[ 0.89939063  0.24475102  0.43714585  0.96958596  0.14498056  0.04998818
  0.51454211  4.41977088 -0.07745105  0.10141963]"
1,26,"[ 0.89939063  0.24475102  0.43714585  0.96958596  0.14498056  0.04998818
  0.51454211  4.41977088 -0.07745105  0.10141963]",[-0.06693026 -0.00217662],-0.13723498495766412,"[ 0.89607231  0.15915163  0.44390811  0.98725415  0.14498056  0.04998818
  0.23962712  4.32371099 -0.08789381  0.09948566]"
1,27,"[ 0.89607231  0.15915163  0.44390811  0.98725415  0.14498056  0.04998818
  0.23962712  4.32371099 -0.08789381  0.09948566]",[-0.09165144  0.07145043],-0.15030819616160462,"[ 0.89558059  0.071316    0.44489933  0.99745377  0.14498056  0.04998818
 -0.12775826  4.52109792 -0.09721134  0.09625502]"
1,28,"[ 0.89558059  0.071316    0.44489933  0.99745377  0.14498056  0.04998818
 -0.12775826  4.52109792 -0.09721134  0.09625502]",[-0.04290348  0.0471229 ],-0.14411139665926873,"[ 0.89745567 -0.02001836  0.44110466  0.99979961  0.14498056  0.04998818
 -0.29495273  4.61820653 -0.10572306  0.09185136]"
1,29,"[ 0.89745567 -0.02001836  0.44110466  0.99979961  0.14498056  0.04998818
 -0.29495273  4.61820653 -0.10572306  0.09185136]",[0.07078277 0.03179659],-0.14933409653712285,"[ 0.89878768 -0.11249059  0.43838419  0.99365279  0.14498056  0.04998818
 -0.00890169  4.65263011 -0.11413937  0.08666478]"
1,30,"[ 0.89878768 -0.11249059  0.43838419  0.99365279  0.14498056  0.04998818
 -0.00890169  4.65263011 -0.11413937  0.08666478]",[-0.03622963  0.0427248 ],-0.14971163587809846,"[ 0.89949411 -0.20508953  0.43693289  0.97874322  0.14498056  0.04998818
 -0.1520324   4.72971005 -0.12236461  0.08068912]"
1,31,"[ 0.89949411 -0.20508953  0.43693289  0.97874322  0.14498056  0.04998818
 -0.1520324   4.72971005 -0.12236461  0.08068912]",[0.0102886  0.02781193],-0.15038500945304606,"[ 0.90062752 -0.29677595  0.43459184  0.95494714  0.14498056  0.04998818
 -0.10821301  4.74618983 -0.12997043  0.07388929]"
1,32,"[ 0.90062752 -0.29677595  0.43459184  0.95494714  0.14498056  0.04998818
 -0.10821301  4.74618983 -0.12997043  0.07388929]",[-0.1056165   0.13787654],-0.18209430161882606,"[ 0.90336328 -0.39013084  0.42887618  0.92075943  0.14498056  0.04998818
 -0.52406848  5.19819812 -0.13684968  0.06599048]"
1,33,"[ 0.90336328 -0.39013084  0.42887618  0.92075943  0.14498056  0.04998818
 -0.52406848  5.19819812 -0.13684968  0.06599048]",[0.0263714  0.09275908],-0.16332552565897007,"[ 0.90732502 -0.48589779  0.42042991  0.87401564  0.14498056  0.04998818
 -0.40923906  5.46256055 -0.14316419  0.05681524]"
1,34,"[ 0.90732502 -0.48589779  0.42042991  0.87401564  0.14498056  0.04998818
 -0.40923906  5.46256055 -0.14316419  0.05681524]",[0.09346436 0.15680525],-0.18986822825515673,"[ 0.90916226 -0.58248739  0.41644206  0.81283974  0.14498056  0.04998818
 -0.03108318  5.97527165 -0.14955245  0.04626365]"
1,35,"[ 0.90916226 -0.58248739  0.41644206  0.81283974  0.14498056  0.04998818
 -0.03108318  5.97527165 -0.14955245  0.04626365]",[-0.03479206  0.06563599],-0.16455066584434863,"[ 0.90999173 -0.67628786  0.41462639  0.73663744  0.14498056  0.04998818
 -0.16807976  6.1168693  -0.15527444  0.03436651]"
1,36,"[ 0.90999173 -0.67628786  0.41462639  0.73663744  0.14498056  0.04998818
 -0.16807976  6.1168693  -0.15527444  0.03436651]",[-0.00139129  0.05820105],-0.16438984841017193,"[ 0.91138895 -0.76183819  0.41154609  0.64776737  0.14498056  0.04998818
 -0.17015188  6.22621935 -0.15954253  0.02161849]"
1,37,"[ 0.91138895 -0.76183819  0.41154609  0.64776737  0.14498056  0.04998818
 -0.17015188  6.22621935 -0.15954253  0.02161849]",[0.0101026  0.14037476],-0.1824039293937124,"[ 0.91260596 -0.83876469  0.40884027  0.54449408  0.14498056  0.04998818
 -0.12668355  6.65877655 -0.16240793  0.0078347 ]"
1,38,"[ 0.91260596 -0.83876469  0.40884027  0.54449408  0.14498056  0.04998818
 -0.12668355  6.65877655 -0.16240793  0.0078347 ]",[-0.02806316  0.04252215],-0.16627266918444567,"[ 0.9140809  -0.90379371  0.40553188  0.42796837  0.14498056  0.04998818
 -0.23518713  6.6953146  -0.16353898 -0.00672012]"
1,39,"[ 0.9140809  -0.90379371  0.40553188  0.42796837  0.14498056  0.04998818
 -0.23518713  6.6953146  -0.16353898 -0.00672012]",[0.03964994 0.04077657],-0.16746090008479703,"[ 0.91532611 -0.95292743  0.40271343  0.30319847  0.14498056  0.04998818
 -0.07348153  6.72422406 -0.16282549 -0.02140224]"
1,40,"[ 0.91532611 -0.95292743  0.40271343  0.30319847  0.14498056  0.04998818
 -0.07348153  6.72422406 -0.16282549 -0.02140224]",[-0.03882752  0.04717728],-0.1679373495847705,"[ 0.91652889 -0.98506859  0.3999685   0.17216233  0.14498056  0.04998818
 -0.22570496  6.77789471 -0.16021505 -0.03597383]"
1,41,"[ 0.91652889 -0.98506859  0.3999685   0.17216233  0.14498056  0.04998818
 -0.22570496  6.77789471 -0.16021505 -0.03597383]",[-0.0107787   0.02983372],-0.16494288866937018,"[ 0.91847783 -0.99425486  0.39547246  0.10703862  0.14498056  0.04998818
 -0.26416845  0.56075081 -0.15814754 -0.04318081]"
1,42,"[ 0.91847783 -0.99425486  0.39547246  0.10703862  0.14498056  0.04998818
 -0.26416845  0.56075081 -0.15814754 -0.04318081]",[ 0.16548935 -0.05261276],-0.19413331149996288,"[ 0.91794614 -0.99370115  0.39670504  0.11206259  0.14498056  0.04998818
  0.39622273 -0.63724016 -0.15839152 -0.04243903]"
1,43,"[ 0.91794614 -0.99370115  0.39670504  0.11206259  0.14498056  0.04998818
  0.39622273 -0.63724016 -0.15839152 -0.04243903]",[ 0.07795934 -0.00551947],-0.170268472246456,"[ 0.91355027 -0.99214146  0.40672583  0.12512126  0.14498056  0.04998818
  0.69703795 -0.66226752 -0.15892425 -0.04113033]"
1,44,"[ 0.91355027 -0.99214146  0.40672583  0.12512126  0.14498056  0.04998818
  0.69703795 -0.66226752 -0.15892425 -0.04113033]",[ 0.15808558 -0.02941359],-0.19034547303093952,"[ 0.9051987  -0.99025334  0.4249886   0.13927785  0.14498056  0.04998818
  1.30913348 -0.76559554 -0.15957308 -0.03991427]"
1,45,"[ 0.9051987  -0.99025334  0.4249886   0.13927785  0.14498056  0.04998818
  1.30913348 -0.76559554 -0.15957308 -0.03991427]",[0.08570817 0.11610307],-0.1857930519530501,"[ 0.89234736 -0.9887293   0.45134929  0.14971433  0.14498056  0.04998818
  1.62257606 -0.29070911 -0.16023086 -0.03924618]"
1,46,"[ 0.89234736 -0.9887293   0.45134929  0.14971433  0.14498056  0.04998818
  1.62257606 -0.29070911 -0.16023086 -0.03924618]",[-0.00651615  0.1018834 ],-0.1758523457685075,"[ 0.87751189 -0.98847201  0.47955489  0.15140374  0.14498056  0.04998818
  1.56467327  0.11845597 -0.1606297  -0.039561  ]"
1,47,"[ 0.87751189 -0.98847201  0.47955489  0.15140374  0.14498056  0.04998818
  1.56467327  0.11845597 -0.1606297  -0.039561  ]",[0.01084135 0.03514006],-0.1671558446571524,"[ 0.86201698 -0.98903158  0.5068794   0.14770422  0.14498056  0.04998818
  1.57662835  0.25524894 -0.16079621 -0.04043976]"
1,48,"[ 0.86201698 -0.98903158  0.5068794   0.14770422  0.14498056  0.04998818
  1.57662835  0.25524894 -0.16079621 -0.04043976]",[0.01956157 0.07638852],-0.17228628972030757,"[ 0.8453601  -0.99019399  0.53419688  0.13969918  0.14498056  0.04998818
  1.62287438  0.43126605 -0.16073131 -0.04176323]"
1,49,"[ 0.8453601  -0.99019399  0.53419688  0.13969918  0.14498056  0.04998818
  1.62287438  0.43126605 -0.16073131 -0.04176323]",[-0.03803947 -0.01788872],-0.16813063687601001,"[ 0.82860714 -0.99057597  0.55983051  0.13696437  0.14498056  0.04998818
  1.44012106 -0.02694761 -0.16083219 -0.04254248]"
2,0,"[ 9.99562185e-01  9.98472975e-01  2.95878020e-02 -5.52423670e-02
 -3.41276000e-02  8.79628013e-02 -8.59875406e-04  4.29795413e-03
  2.44047555e-01 -8.78283328e-02]",[0.29882652 0.14123796],-0.3675703604286206,"[ 0.99914177  0.99877121  0.04142119 -0.04955879 -0.0341276   0.0879628
  1.18101771  0.56298238  0.24403814 -0.08471803]"
2,1,"[ 0.99914177  0.99877121  0.04142119 -0.04955879 -0.0341276   0.0879628
  1.18101771  0.56298238  0.24403814 -0.08471803]",[0.37472227 0.28493744],-0.4763190591267745,"[ 0.99682667  0.99963235  0.07960266 -0.02711393 -0.0341276   0.0879628
  2.63952035  1.67948334  0.24365842 -0.07422432]"
2,2,"[ 0.99682667  0.99963235  0.07960266 -0.02711393 -0.0341276   0.0879628
  2.63952035  1.67948334  0.24365842 -0.07422432]",[0.16691592 0.11910406],-0.2907916819099705,"[ 0.99041362  0.99994094  0.13813347  0.01086788 -0.0341276   0.0879628
  3.24741624  2.11759103  0.241943   -0.05777239]"
2,3,"[ 0.99041362  0.99994094  0.13813347  0.01086788 -0.0341276   0.0879628
  3.24741624  2.11759103  0.241943   -0.05777239]",[0.13212141 0.03737386],-0.2601910230169682,"[ 0.9784203   0.99852708  0.2066246   0.05425554 -0.0341276   0.0879628
  3.70578634  2.22346689  0.23820429 -0.03876623]"
2,4,"[ 0.9784203   0.99852708  0.2066246   0.05425554 -0.0341276   0.0879628
  3.70578634  2.22346689  0.23820429 -0.03876623]",[0.0808302  0.07555791],-0.24498326424580022,"[ 0.95974278  0.99487247  0.2808804   0.10113735 -0.0341276   0.0879628
  3.95214147  2.47852023  0.23200755 -0.01845941]"
2,5,"[ 0.95974278  0.99487247  0.2808804   0.10113735 -0.0341276   0.0879628
  3.95214147  2.47852023  0.23200755 -0.01845941]",[0.10420655 0.04749005],-0.23608741803599512,"[ 9.33370197e-01  9.88428716e-01  3.58915136e-01  1.51686099e-01
 -3.41276000e-02  8.79628013e-02  4.28614956e+00  2.61734855e+00
  2.22958799e-01  2.52593764e-03]"
2,6,"[ 9.33370197e-01  9.88428716e-01  3.58915136e-01  1.51686099e-01
 -3.41276000e-02  8.79628013e-02  4.28614956e+00  2.61734855e+00
  2.22958799e-01  2.52593764e-03]",[-0.03531013 -0.00871917],-0.21394747742529785,"[ 0.90019604  0.9793136   0.43548489  0.20234839 -0.0341276   0.0879628
  4.06175149  2.53108174  0.21142708  0.02253513]"
2,7,"[ 0.90019604  0.9793136   0.43548489  0.20234839 -0.0341276   0.0879628
  4.06175149  2.53108174  0.21142708  0.02253513]",[-0.03674432 -0.00631014],-0.2037997390432625,"[ 0.86303547  0.96800941  0.50514332  0.2509139  -0.0341276   0.0879628
  3.83611674  2.45605954  0.19838569  0.04016013]"
2,8,"[ 0.86303547  0.96800941  0.50514332  0.2509139  -0.0341276   0.0879628
  3.83611674  2.45605954  0.19838569  0.04016013]",[-0.12201025  0.05353908],-0.21035690770979074,"[ 0.82495928  0.95403098  0.56519216  0.29970802 -0.0341276   0.0879628
  3.2775578   2.61962902  0.1845641   0.05506707]"
2,9,"[ 0.82495928  0.95403098  0.56519216  0.29970802 -0.0341276   0.0879628
  3.2775578   2.61962902  0.1845641   0.05506707]",[0.00276078 0.03939583],-0.18457280150148084,"[ 0.78649922  0.93666117  0.61759127  0.35023686 -0.0341276   0.0879628
  3.22364654  2.723762    0.17001933  0.06772916]"
2,10,"[ 0.78649922  0.93666117  0.61759127  0.35023686 -0.0341276   0.0879628
  3.22364654  2.723762    0.17001933  0.06772916]",[-0.14510596  0.05128449],-0.197462301450426,"[ 0.74932769  0.91560034  0.66219938  0.40208957 -0.0341276   0.0879628
  2.58584639  2.87313171  0.15524032  0.07809418]"
2,11,"[ 0.74932769  0.91560034  0.66219938  0.40208957 -0.0341276   0.0879628
  2.58584639  2.87313171  0.15524032  0.07809418]",[-0.02771564  0.00703379],-0.16593847231924988,"[ 0.7152222   0.89112869  0.69889713  0.45375066 -0.0341276   0.0879628
  2.42511222  2.84414951  0.14087499  0.08613437]"
2,12,"[ 0.7152222   0.89112869  0.69889713  0.45375066 -0.0341276   0.0879628
  2.42511222  2.84414951  0.14087499  0.08613437]",[-0.08070515  0.10900117],-0.17505081254362131,"[ 0.68319224  0.86198728  0.73023856  0.50692991 -0.0341276   0.0879628
  2.05778633  3.21956449  0.12650627  0.09239772]"
2,13,"[ 0.68319224  0.86198728  0.73023856  0.50692991 -0.0341276   0.0879628
  2.05778633  3.21956449  0.12650627  0.09239772]",[-0.04902415  0.09717076],-0.16003720668011462,"[ 0.65435125  0.82576885  0.75619074  0.56400869 -0.0341276   0.0879628
  1.82308387  3.54065455  0.11208561  0.09694117]"
2,14,"[ 0.65435125  0.82576885  0.75619074  0.56400869 -0.0341276   0.0879628
  1.82308387  3.54065455  0.11208561  0.09694117]",[-0.09390841 -0.02161843],-0.1494219620018712,"[ 0.62953206  0.78476179  0.77697451  0.61979749 -0.0341276   0.0879628
  1.41562851  3.38509591  0.09845166  0.09972621]"
2,15,"[ 0.62953206  0.78476179  0.77697451  0.61979749 -0.0341276   0.0879628
  1.41562851  3.38509591  0.09845166  0.09972621]",[-0.08161595  0.11988533],-0.15352861911529403,"[ 0.61007846  0.73828103  0.79234101  0.67449323 -0.0341276   0.0879628
  1.06466139  3.79288908  0.08589323  0.10088245]"
2,16,"[ 0.61007846  0.73828103  0.79234101  0.67449323 -0.0341276   0.0879628
  1.06466139  3.79288908  0.08589323  0.10088245]",[-0.04407346  0.00358989],-0.12693209292884666,"[ 0.5946468   0.68548574  0.80398706  0.72808605 -0.0341276   0.0879628
  0.86932226  3.7320751   0.07403961  0.10068426]"
2,17,"[ 0.5946468   0.68548574  0.80398706  0.72808605 -0.0341276   0.0879628
  0.86932226  3.7320751   0.07403961  0.10068426]",[ 0.03218815 -0.04439038],-0.12072893226224819,"[ 0.57967776  0.63122714  0.81484581  0.77559803 -0.0341276   0.0879628
  0.97961932  3.48238313  0.06282606  0.0995562 ]"
2,18,"[ 0.57967776  0.63122714  0.81484581  0.77559803 -0.0341276   0.0879628
  0.97961932  3.48238313  0.06282606  0.0995562 ]",[0.01153669 0.1392548 ],-0.1296819142115858,"[ 0.5633857   0.57175739  0.82619401  0.82042275 -0.0341276   0.0879628
  1.00581011  3.96481611  0.05133847  0.09746235]"
2,19,"[ 0.5633857   0.57175739  0.82619401  0.82042275 -0.0341276   0.0879628
  1.00581011  3.96481611  0.05133847  0.09746235]",[-0.06630709 -0.0305696 ],-0.10787948416190006,"[ 0.54902083  0.50669869  0.83580867  0.86212321 -0.0341276   0.0879628
  0.72370445  3.76536007  0.04036738  0.09426898]"
2,20,"[ 0.54902083  0.50669869  0.83580867  0.86212321 -0.0341276   0.0879628
  0.72370445  3.76536007  0.04036738  0.09426898]",[-0.03922286 -0.01436207],-0.09726643860834842,"[ 0.53829931  0.44158281  0.84275373  0.8972205  -0.0341276   0.0879628
  0.55430411  3.63399287  0.03092981  0.0903756 ]"
2,21,"[ 0.53829931  0.44158281  0.84275373  0.8972205  -0.0341276   0.0879628
  0.55430411  3.63399287  0.03092981  0.0903756 ]",[-0.04303529  0.03588081],-0.09190014687116047,"[ 0.53046561  0.37461183  0.84770646  0.92718174 -0.0341276   0.0879628
  0.37310578  3.70416773  0.02257554  0.08584173]"
2,22,"[ 0.53046561  0.37461183  0.84770646  0.92718174 -0.0341276   0.0879628
  0.37310578  3.70416773  0.02257554  0.08584173]",[-0.07090928  0.00209823],-0.0872746689753413,"[ 0.52658289  0.30557897  0.85012379  0.95216674 -0.0341276   0.0879628
  0.08522231  3.63921388  0.0154455   0.08077875]"
2,23,"[ 0.52658289  0.30557897  0.85012379  0.95216674 -0.0341276   0.0879628
  0.08522231  3.63921388  0.0154455   0.08077875]",[0.01527362 0.05159107],-0.07864927286228694,"[ 0.52463114  0.23423887  0.85132964  0.97217907 -0.0341276   0.0879628
  0.14400523  3.7714295   0.00906765  0.0752097 ]"
2,24,"[ 0.52463114  0.23423887  0.85132964  0.97217907 -0.0341276   0.0879628
  0.14400523  3.7714295   0.00906765  0.0752097 ]",[ 0.02176635 -0.07961735],-0.07623850805159284,"[ 5.21462948e-01  1.64172766e-01  8.53273926e-01  9.86431601e-01
 -3.41276000e-02  8.79628013e-02  2.27436339e-01  3.38149485e+00
  3.10433414e-03  6.93563723e-02]"
2,25,"[ 5.21462948e-01  1.64172766e-01  8.53273926e-01  9.86431601e-01
 -3.41276000e-02  8.79628013e-02  2.27436339e-01  3.38149485e+00
  3.10433414e-03  6.93563723e-02]",[-0.05417861 -0.01962996],-0.06696158941152495,"[ 5.19453507e-01  9.85801581e-02  8.54498715e-01  9.95129113e-01
 -3.41276000e-02  8.79628013e-02  8.61806025e-03  3.23686764e+00
 -1.83138883e-03  6.36145762e-02]"
2,26,"[ 5.19453507e-01  9.85801581e-02  8.54498715e-01  9.95129113e-01
 -3.41276000e-02  8.79628013e-02  8.61806025e-03  3.23686764e+00
 -1.83138883e-03  6.36145762e-02]",[-0.00267814 -0.00748519],-0.0582341940559959,"[ 5.19398003e-01  3.49363770e-02  8.54532454e-01  9.99389538e-01
 -3.41276000e-02  8.79628013e-02 -2.08780074e-03  3.14314870e+00
 -5.87776991e-03  5.78732781e-02]"
2,27,"[ 5.19398003e-01  3.49363770e-02  8.54532454e-01  9.99389538e-01
 -3.41276000e-02  8.79628013e-02 -2.08780074e-03  3.14314870e+00
 -5.87776991e-03  5.78732781e-02]",[-0.0678141  -0.05240614],-0.06046048870153868,"[ 0.52173161 -0.02521098  0.85310968  0.99968215 -0.0341276   0.0879628
 -0.27033586  2.87346348 -0.00895857  0.0523544 ]"
2,28,"[ 0.52173161 -0.02521098  0.85310968  0.99968215 -0.0341276   0.0879628
 -0.27033586  2.87346348 -0.00895857  0.0523544 ]",[-0.13678093  0.00180307],-0.06718862761350161,"[ 0.53090099 -0.08209218  0.84743385  0.99662474 -0.0341276   0.0879628
 -0.80627971  2.82380173 -0.01047981  0.04733001]"
2,29,"[ 0.53090099 -0.08209218  0.84743385  0.99662474 -0.0341276   0.0879628
 -0.80627971  2.82380173 -0.01047981  0.04733001]",[-0.06822575 -0.10304626],-0.059599891584686294,"[ 0.54663235 -0.13360566  0.83737272  0.99103457 -0.0341276   0.0879628
 -1.06026183  2.35991343 -0.01052823  0.04305815]"
2,30,"[ 0.54663235 -0.13360566  0.83737272  0.99103457 -0.0341276   0.0879628
 -1.06026183  2.35991343 -0.01052823  0.04305815]",[0.0297046  0.03304787],-0.042412412554628805,"[ 0.5631167  -0.18104464  0.82637738  0.98347488 -0.0341276   0.0879628
 -0.92172374  2.4440234  -0.01017441  0.03913699]"
2,31,"[ 0.5631167  -0.18104464  0.82637738  0.98347488 -0.0341276   0.0879628
 -0.92172374  2.4440234  -0.01017441  0.03913699]",[ 0.11888759 -0.09742503],-0.0603545334069665,"[ 0.57424549 -0.22463884  0.81868316  0.97444209 -0.0341276   0.0879628
 -0.43287739  2.00980986 -0.01039096  0.03522812]"
